0,0.372
1,0.031
2,0.039
3,0.057
4,0.046
5,0.05
6,0.042
7,0.059
8,0.05
9,0.045
10,0.05
11,0.049
12,0.046
13,0.043
14,0.047
15,0.048
16,0.04
17,0.032
18,0.05
19,0.04
20,0.045
21,0.049
22,0.056
23,0.054
24,0.044
25,0.037
26,0.05
27,0.047
28,0.045
29,0.04
30,0.037
31,0.043
32,0.044
33,0.036
34,0.032
35,0.036
36,0.049
37,0.048
38,0.04
39,0.042
40,0.04
41,0.04
42,0.056
43,0.039
44,0.053
45,0.055
46,0.04
47,0.046
48,0.032
49,0.049
50,0.042
51,0.051
52,0.053
53,0.045
54,0.04
55,0.038
56,0.032
57,0.051
58,0.044
59,0.033
60,0.043
61,0.039
62,0.068
63,0.043
64,0.042
65,0.045
66,0.043
67,0.044
68,0.046
69,0.047
70,0.038
71,0.052
72,0.062
73,0.044
74,0.05
75,0.044
76,0.049
77,0.048
78,0.05
79,0.04
80,0.045
81,0.046
82,0.05
83,0.051
84,0.028
85,0.048
86,0.045
87,0.05
88,0.041
89,0.056
90,0.03
91,0.031
92,0.039
93,0.054
94,0.035
95,0.059
96,0.037
97,0.062
98,0.049
99,0.043
100,0.049
101,0.034
102,0.031
103,0.032
104,0.038
105,0.052
106,0.055
107,0.039
108,0.043
109,0.043
110,0.05
111,0.048
112,0.052
113,0.039
114,0.054
115,0.04
116,0.048
117,0.055
118,0.047
119,0.045
120,0.036
121,0.031
122,0.036
123,0.059
124,0.048
125,0.031
126,0.08
127,0.045
128,0.057
129,0.048
130,0.049
131,0.04
132,0.043
133,0.054
134,0.063
135,0.047
136,0.035
137,0.041
138,0.043
139,0.029
140,0.051
141,0.046
142,0.05
143,0.046
144,0.05
145,0.042
146,0.049
147,0.038
148,0.039
149,0.045
150,0.051
151,0.066
152,0.048
153,0.032
154,0.039
155,0.043
156,0.047
157,0.053
158,0.037
159,0.049
160,0.041
161,0.049
162,0.04
163,0.03
164,0.041
165,0.064
166,0.044
167,0.04
168,0.035
169,0.06
170,0.054
171,0.04
172,0.045
173,0.054
174,0.039
175,0.051
176,0.042
177,0.051
178,0.047
179,0.054
180,0.034
181,0.046
182,0.027
183,0.033
184,0.036
185,0.107
186,0.049
187,0.044
188,0.054
189,0.049
190,0.029
191,0.034
192,0.044
193,0.051
194,0.036
195,0.034
196,0.032
197,0.028
198,0.047
199,0.041
200,0.035
201,0.033
202,0.036
203,0.041
204,0.039
205,0.039
206,0.031
207,0.042
208,0.033
209,0.055
210,0.051
211,0.039
212,0.03
213,0.042
214,0.056
215,0.049
216,0.04
217,0.058
218,0.027
219,0.063
220,0.054
221,0.053
222,0.046
223,0.038
224,0.058
225,0.031
226,0.041
227,0.056
228,0.041
229,0.056
230,0.038
231,0.034
232,0.032
233,0.033
234,0.041
235,0.058
236,0.047
237,0.044
238,0.053
239,0.047
240,0.048
241,0.053
242,0.039
243,0.046
244,0.054
245,0.047
246,0.046
247,0.042
248,0.052
249,0.044
250,0.045
251,0.038
252,0.03
253,0.031
254,0.041
255,0.057
256,0.036
257,0.029
258,0.032
259,0.047
260,0.054
261,0.036
262,0.049
263,0.043
264,0.048
265,0.051
266,0.04
267,0.04
268,0.04
269,0.042
270,0.035
271,0.04
272,0.039
273,0.032
274,0.047
275,0.046
276,0.048
277,0.052
278,0.048
279,0.042
280,0.04
281,0.057
282,0.047
283,0.048
284,0.054
285,0.04
286,0.049
287,0.04
288,0.052
289,0.046
290,0.058
291,0.042
292,0.041
293,0.042
294,0.045
295,0.044
296,0.046
297,0.045
298,0.043
299,0.052
300,0.035
301,0.051
302,0.045
303,0.043
304,0.06
305,0.054
306,0.049
307,0.044
308,0.048
309,0.056
310,0.05
311,0.044
312,0.037
313,0.046
314,0.058
315,0.059
316,0.044
317,0.038
318,0.045
319,0.043
320,0.045
321,0.044
322,0.051
323,0.059
324,0.047
325,0.052
326,0.039
327,0.039
328,0.048
329,0.05
330,0.041
331,0.047
332,0.052
333,0.042
334,0.043
335,0.058
336,0.053
337,0.047
338,0.029
339,0.036
340,0.041
341,0.052
342,0.041
343,0.041
344,0.034
345,0.037
346,0.04
347,0.033
348,0.037
349,0.042
350,0.037
351,0.033
352,0.033
353,0.033
354,0.027
355,0.033
356,0.031
357,0.046
358,0.046
359,0.049
360,0.06
361,0.033
362,0.034
363,0.038
364,0.031
365,0.034
366,0.03
367,0.037
368,0.045
369,0.03
370,0.035
371,0.038
372,0.033
373,0.036
374,0.031
375,0.054
376,0.043
377,0.03
378,0.054
379,0.047
380,0.04
